﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3bAyl2s5q4aVmK7UuKu6qD","You're Everything","Return To Forever, Chick Corea, Neville Potter","History","1","5","314733","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-04-11T18:49:06Z"
"spotify:track:4LM9EXnUrWSb0MLUTGUive","Chick's Chums","Chick Corea, Steve Gadd","Chinese Butterfly","1","1","563053","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-04-21T13:49:50Z"
"spotify:track:2Tz6RLWjzkANX0VFBy9OvT","Portals To Forever","Chick Corea","The Vigil","1","3","962520","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-04-22T12:38:36Z"
"spotify:track:26BkRNwJhRr6cwapeK9r7z","Return To Forever","Chick Corea, Steve Gadd, Philip Bailey","Chinese Butterfly","1","6","1049613","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-04-22T12:49:34Z"
"spotify:track:04FRoNaiFZyuRGL8TeI1I5","ジェントル・レイン","George Garzone, Trio da Paz","恋とボサノバの夜","1","2","356000","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-04-22T15:27:14Z"
"spotify:track:7K8fYFufbs5Ml2foQ2KTpH","Song Tree","Enrico Rava Quintet","Tribe","1","8","216346","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-05-02T11:21:26Z"
"spotify:track:6BOru56RwBcQli1OWeMb68","Humility","Kamasi Washington","Harmony of Difference","1","2","166164","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-05-08T12:40:51Z"
"spotify:track:6r131w2iZTb7qF72x307Ga","Gambashwari","School Of The Arts, t lavitz, Dave Weckl, Frank Gambale, John Patitucci","School of the Arts","1","7","302853","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-05-08T20:10:48Z"
"spotify:track:0db6wjpj7LlreaVz9cO3dq","Spain","Return To Forever, Joaquín Rodrigo, Chick Corea","History","1","1","589933","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-05-09T10:31:08Z"
"spotify:track:70NTrK2QjPjGBqjB3HzUQU","Changes","Theo Croker","Escape Velocity","1","14","270066","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-05-09T14:22:14Z"
